epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,601.025,0.89802,1.38607,1.11491,0.99953,1,0.995,0.85746,0.68001,2.50466,1.01479,0.000658537,0.000658537,0.000658537
2,1054.17,0.76165,0.80337,1.00918,0.9939,0.99614,0.995,0.83289,0.72922,1.20016,1.0545,0.00129896,0.00129896,0.00129896
3,1488.32,0.75724,0.66049,1.00813,0.99863,1,0.995,0.81145,0.82553,0.91639,1.04534,0.00191299,0.00191299,0.00191299
4,1925.06,0.71985,0.54101,0.98278,0.99968,1,0.995,0.81374,0.88298,0.55311,1.03938,0.0018812,0.0018812,0.0018812
5,2392.24,0.66298,0.47314,0.96285,0.9996,1,0.995,0.92417,0.5139,0.50842,0.87553,0.0018416,0.0018416,0.0018416
6,2814.58,0.6215,0.42732,0.95158,0.99968,1,0.995,0.90531,0.52054,0.43676,0.87074,0.001802,0.001802,0.001802
7,3237.26,0.57752,0.39335,0.93804,0.9998,1,0.995,0.86936,0.5476,0.30037,0.90195,0.0017624,0.0017624,0.0017624
8,3661.14,0.56779,0.37637,0.9331,0.99981,1,0.995,0.88522,0.53037,0.29966,0.9324,0.0017228,0.0017228,0.0017228
9,4093,0.53989,0.35324,0.92788,0.99648,1,0.995,0.76234,0.75416,0.45484,0.98578,0.0016832,0.0016832,0.0016832
10,4526.5,0.55775,0.35626,0.9243,0.99982,1,0.995,0.92773,0.40825,0.28821,0.87535,0.0016436,0.0016436,0.0016436
11,4979.19,0.49842,0.33044,0.91041,0.99981,1,0.995,0.89221,0.49419,0.26982,0.85937,0.001604,0.001604,0.001604
12,5428.51,0.50288,0.32778,0.91335,0.99982,1,0.995,0.84456,0.6143,0.31049,0.93921,0.0015644,0.0015644,0.0015644
13,5876.18,0.49665,0.32961,0.91582,0.99982,1,0.995,0.93252,0.42673,0.25996,0.86051,0.0015248,0.0015248,0.0015248
14,6409.69,0.48035,0.30972,0.89871,0.99982,1,0.995,0.91865,0.46178,0.25733,0.86637,0.0014852,0.0014852,0.0014852
15,7235.67,0.50437,0.32183,0.91554,0.99982,1,0.995,0.89373,0.50859,0.35964,0.88323,0.0014456,0.0014456,0.0014456
16,7852.99,0.46911,0.30964,0.90468,0.99975,1,0.995,0.93869,0.40125,0.27247,0.8469,0.001406,0.001406,0.001406
17,8463.54,0.45197,0.30015,0.89868,0.99982,1,0.995,0.87655,0.49649,0.25399,0.8817,0.0013664,0.0013664,0.0013664
18,9080.51,0.43109,0.28669,0.89169,0.99982,1,0.995,0.91816,0.43476,0.26415,0.84605,0.0013268,0.0013268,0.0013268
19,9714.44,0.43135,0.2872,0.89573,0.99976,1,0.995,0.9401,0.38283,0.27182,0.83039,0.0012872,0.0012872,0.0012872
20,10367.1,0.43195,0.28721,0.89344,0.9998,1,0.995,0.93513,0.41605,0.26302,0.84886,0.0012476,0.0012476,0.0012476
21,11011.2,0.42748,0.27746,0.89242,0.99981,1,0.995,0.91824,0.41929,0.22961,0.85086,0.001208,0.001208,0.001208
22,11624.6,0.4092,0.27044,0.89164,0.99983,1,0.995,0.9214,0.46336,0.26899,0.86828,0.0011684,0.0011684,0.0011684
23,12237.2,0.40859,0.26651,0.8856,0.99982,1,0.995,0.90357,0.47839,0.23457,0.85725,0.0011288,0.0011288,0.0011288
24,12841.3,0.40482,0.26479,0.88035,0.99983,1,0.995,0.91675,0.41224,0.23416,0.85354,0.0010892,0.0010892,0.0010892
25,13441.8,0.39489,0.2601,0.88474,0.99982,1,0.995,0.95823,0.32001,0.18438,0.82184,0.0010496,0.0010496,0.0010496
26,14038.3,0.39259,0.25376,0.88629,0.99983,1,0.995,0.93099,0.40333,0.23389,0.84422,0.00101,0.00101,0.00101
27,14644.3,0.38846,0.25957,0.87484,0.99983,1,0.995,0.92708,0.39718,0.22001,0.83529,0.0009704,0.0009704,0.0009704
28,15247.6,0.3812,0.24714,0.88397,0.99983,1,0.995,0.92943,0.35603,0.22281,0.82871,0.0009308,0.0009308,0.0009308
29,15856.9,0.3783,0.247,0.87594,0.99983,1,0.995,0.94312,0.38969,0.22007,0.8211,0.0008912,0.0008912,0.0008912
30,16467.9,0.3725,0.23697,0.87437,0.99982,1,0.995,0.92845,0.37908,0.21134,0.82858,0.0008516,0.0008516,0.0008516
31,17073.4,0.35979,0.23955,0.87111,0.99983,1,0.995,0.96109,0.34246,0.19063,0.82941,0.000812,0.000812,0.000812
32,17675.1,0.3542,0.2341,0.8736,0.99982,1,0.995,0.95851,0.30685,0.19859,0.81785,0.0007724,0.0007724,0.0007724
33,18313.7,0.35272,0.23332,0.87604,0.99983,1,0.995,0.9203,0.3819,0.22002,0.81724,0.0007328,0.0007328,0.0007328
34,19065.1,0.33155,0.2187,0.86649,0.99984,1,0.995,0.93976,0.3533,0.19036,0.81671,0.0006932,0.0006932,0.0006932
35,19740.3,0.3338,0.21692,0.86273,0.99983,1,0.995,0.96108,0.30256,0.17941,0.81807,0.0006536,0.0006536,0.0006536
36,20367.4,0.32754,0.22194,0.87172,0.99983,1,0.995,0.93073,0.35392,0.19836,0.82905,0.000614,0.000614,0.000614
37,21004.8,0.31654,0.21115,0.86701,0.99984,1,0.995,0.93585,0.35629,0.19066,0.81944,0.0005744,0.0005744,0.0005744
38,21647.9,0.31514,0.21388,0.86178,0.99983,1,0.995,0.93435,0.35335,0.19602,0.81896,0.0005348,0.0005348,0.0005348
39,22382.4,0.30601,0.20278,0.86083,0.99983,1,0.995,0.92626,0.35202,0.19458,0.82161,0.0004952,0.0004952,0.0004952
40,22993.7,0.29795,0.19551,0.85894,0.99984,1,0.995,0.93175,0.36262,0.19016,0.82352,0.0004556,0.0004556,0.0004556
41,23455.4,0.27689,0.17947,0.82071,0.99984,1,0.995,0.94491,0.32706,0.18513,0.82394,0.000416,0.000416,0.000416
42,23984.8,0.27208,0.17189,0.81973,0.99983,1,0.995,0.93393,0.35276,0.16343,0.82141,0.0003764,0.0003764,0.0003764
43,24436.8,0.26807,0.17091,0.82115,0.99983,1,0.995,0.94074,0.38253,0.24478,0.82107,0.0003368,0.0003368,0.0003368
44,24886.3,0.26054,0.16658,0.81204,0.99983,1,0.995,0.94013,0.31968,0.1808,0.82422,0.0002972,0.0002972,0.0002972
